iteration,x_1,x_2,x_3,y_1,y_2,norm_d,distance_PS,difference,cos,alpha_1,alpha_2,is_start_hitting,is_stop_hitting
0,4.146807670593262,4.245011806488037,2.6485912799835205,2.0339794158935547,1.1635713577270508,2.2254409790039062,2.225215435028076,2.4578449142609315e-07,1.0,0.5000000220483257,0.5000000209331159,False,False
1,4.146100044250488,4.244976997375488,2.6507010459899902,2.0289063453674316,1.1587257385253906,2.231262445449829,2.2308459281921387,5.972094641037984e-08,0.9999998807907104,0.5000000230452847,0.5000000213228172,False,False
2,4.145387649536133,4.244941711425781,2.652815341949463,2.023770809173584,1.153890609741211,2.237018346786499,2.2363498210906982,2.4586915969848633e-07,1.0000001192092896,0.5000000240463477,0.5000000216098299,False,False
3,4.144670486450195,4.244906425476074,2.6549339294433594,2.018573522567749,1.1490669250488281,2.2427074909210205,2.241724729537964,6.006850128414953e-08,0.9999998807907104,0.5000000250515261,0.5000000217973511,False,False
4,4.143948554992676,4.244870662689209,2.657057046890259,2.013315200805664,1.144252896308899,2.248328685760498,2.246967315673828,2.460102166423894e-07,1.0000001192092896,0.5000000260608803,0.500000021888656,False,False
5,4.143221855163574,4.244834899902344,2.659184455871582,2.0079944133758545,1.1394507884979248,2.2538819313049316,2.2520761489868164,2.4620757699267415e-07,1.0000001192092896,0.5000000270747047,0.5000000218870397,False,False
6,4.142490386962891,4.24479866027832,2.661316156387329,2.0026116371154785,1.1346614360809326,2.259366035461426,2.2570483684539795,2.4620757699267415e-07,0.9999998807907104,0.500000028093178,0.5000000217957464,False,False
7,4.141754150390625,4.244762420654297,2.663451910018921,1.9971668720245361,1.1298835277557373,2.2647812366485596,2.2618825435638428,6.244724204407248e-08,1.0000001192092896,0.5000000291164499,0.5000000216183121,False,False
8,4.141013145446777,4.244725704193115,2.6655917167663574,1.9916598796844482,1.125119924545288,2.2701256275177,2.2665746212005615,6.365778659755961e-08,0.9999998807907104,0.5000000301448069,0.5000000213579345,False,False
9,4.140267372131348,4.244688987731934,2.6677355766296387,1.9860923290252686,1.1203691959381104,2.2753987312316895,2.271123170852661,6.505939609269262e-08,1.0,0.5000000311782242,0.5000000210182582,False,False
10,4.139516830444336,4.244651794433594,2.6698832511901855,1.9804613590240479,1.1156330108642578,2.2806010246276855,2.275527238845825,6.505939609269262e-08,1.0,0.5000000298217923,0.5000000185574472,False,False
11,4.138761043548584,4.244614601135254,2.672034740447998,1.9747673273086548,1.1109118461608887,2.2857325077056885,2.2797837257385254,6.664001972467304e-08,0.9999998807907104,0.5000000259374662,0.5000000139368437,False,False
12,4.13800048828125,4.244576930999756,2.674189805984497,1.9690124988555908,1.1062068939208984,2.29079008102417,2.2838895320892334,2.4755667027420714e-07,1.0,0.5000000221079329,0.5000000093888963,False,False
13,4.137234687805176,4.244539260864258,2.6763484477996826,1.9631943702697754,1.101517915725708,2.2957756519317627,2.287844657897949,2.4755667027420714e-07,0.9999998807907104,0.5000000183358738,0.5000000049155224,False,False
14,4.1364641189575195,4.244501113891602,2.6785106658935547,1.9573148488998413,1.0968464612960815,2.3006865978240967,2.29164457321167,6.838723720647977e-08,0.9999998807907104,0.5000000146249246,0.5000000005199198,False,False
15,4.135688304901123,4.244462966918945,2.680676221847534,1.951372742652893,1.0921907424926758,2.305525064468384,2.295289993286133,6.838723720647977e-08,1.0,0.5000000109793441,0.49999999620579727,False,False
16,4.1349077224731445,4.244424343109131,2.682845115661621,1.9453684091567993,1.0875537395477295,2.3102879524230957,2.298776626586914,6.838723720647977e-08,1.0000001192092896,0.5000000074011202,0.4999999919745495,False,False
17,4.134121894836426,4.244385242462158,2.6850173473358154,1.9393010139465332,1.0829346179962158,2.3149774074554443,2.3021039962768555,3.3527612686157227e-08,0.9999999403953552,0.5000000038949998,0.4999999878304615,False,False
18,4.133330821990967,4.2443461418151855,2.687192678451538,1.9331716299057007,1.0783348083496094,2.3195910453796387,2.3052704334259033,2.413114259525173e-07,0.9999999403953552,0.5000000004645533,0.4999999837766767,False,False
19,4.132534503936768,4.244306564331055,2.689371109008789,1.9269790649414062,1.0737552642822266,2.324129819869995,2.3082728385925293,3.725290298461914e-08,1.0,0.4999999971127547,0.4999999798156313,False,False
20,4.131733417510986,4.244266986846924,2.6915524005889893,1.9207267761230469,1.0691940784454346,2.3285915851593018,2.311110019683838,3.725290298461914e-08,1.0000001192092896,0.4999999938447383,0.49999997595223955,False,False
21,4.130927085876465,4.244226932525635,2.6937365531921387,1.9144117832183838,1.0646541118621826,2.332976818084717,2.3137803077697754,2.4191450620492105e-07,1.0,0.4999999906628061,0.4999999721881964,False,False
22,4.130115509033203,4.244186878204346,2.695923328399658,1.9080355167388916,1.060135841369629,2.3372859954833984,2.3162827491760254,4.0978193283081055e-08,1.0,0.4999999875715736,0.4999999685278105,False,False
23,4.129298686981201,4.244146347045898,2.698112726211548,1.9015978574752808,1.0556378364562988,2.341517448425293,2.3186147212982178,2.4191450620492105e-07,1.0,0.49999998457360456,0.4999999649730804,False,False
24,4.128476142883301,4.244105339050293,2.7003047466278076,1.8950958251953125,1.051163911819458,2.3456735610961914,2.3207767009735107,0.0,1.0,0.49999999981672133,0.49999999961526764,False,False
25,4.12764835357666,4.2440643310546875,2.7024991512298584,1.888533115386963,1.0467135906219482,2.3497514724731445,2.322765350341797,0.0,1.0000001192092896,0.4999999997887199,0.4999999995819367,False,False
26,4.126815319061279,4.244022846221924,2.7046959400177,1.8819096088409424,1.0422844886779785,2.3537518978118896,2.324579954147339,2.384185791015625e-07,0.9999999403953552,0.49999999976176596,0.4999999995497686,False,False
27,4.125977039337158,4.24398136138916,2.706894874572754,1.8752247095108032,1.037879467010498,2.3576748371124268,2.3262197971343994,0.0,1.0000001192092896,0.49999999973589554,0.4999999995187965,False,False
28,4.125133037567139,4.243939399719238,2.7090959548950195,1.8684782981872559,1.0334992408752441,2.3615198135375977,2.3276829719543457,0.0,0.9999999403953552,0.499999999711146,0.4999999994890554,False,False
29,4.124283790588379,4.243896961212158,2.711299180984497,1.8616716861724854,1.029144525527954,2.365285873413086,2.3289682865142822,2.384185791015625e-07,1.0000001192092896,0.49999999968755443,0.49999999946057994,False,False
