iterations,first loss function,second loss function,norm of d,measure of Pareto stationarity
0,0.6822292804718018,0.07551851123571396,0.0219035019565814,0.02133643813431263
1,0.6821505427360535,0.07550840824842453,0.0219035019565814,0.02133643813431263
2,0.68207186460495,0.0754983127117157,0.0219035019565814,0.02133643813431263
3,0.6819932460784912,0.07548820972442627,0.0219035019565814,0.02133643813431263
4,0.6819146275520325,0.07547810673713684,0.0219035019565814,0.02133643813431263
5,0.6818361282348633,0.0754680186510086,0.0219035019565814,0.02133643813431263
6,0.6817575693130493,0.07545792311429977,0.0219035019565814,0.02133643813431263
7,0.6816791296005249,0.07544783502817154,0.0219035019565814,0.02133643813431263
8,0.6816007494926453,0.07543773949146271,0.0219035019565814,0.02133643813431263
9,0.6815224289894104,0.07542765885591507,0.0219035019565814,0.02133643813431263
10,0.6814441084861755,0.07541757076978683,0.0219035019565814,0.02133643813431263
11,0.6813658475875854,0.0754074901342392,0.0219035019565814,0.02133643813431263
12,0.6812877058982849,0.07539741694927216,0.0219035019565814,0.02133643813431263
13,0.6812095642089844,0.07538733631372452,0.0219035019565814,0.02133643813431263
14,0.6811314225196838,0.07537726312875748,0.0219035019565814,0.02133643813431263
15,0.6810534000396729,0.07536718994379044,0.0219035019565814,0.02133643813431263
16,0.6809753775596619,0.0753571167588234,0.0219035019565814,0.02133643813431263
17,0.6808974146842957,0.07534705102443695,0.0219035019565814,0.02133643813431263
18,0.6808194518089294,0.07533697783946991,0.0219035019565814,0.02133643813431263
19,0.6807416081428528,0.07532691210508347,0.0219035019565814,0.02133643813431263
20,0.6806637644767761,0.07531686127185822,0.0219035019565814,0.02133643813431263
21,0.680586040019989,0.07530680298805237,0.0219035019565814,0.02133643813431263
22,0.6805083155632019,0.07529673725366592,0.0219035019565814,0.02133643813431263
23,0.6804306507110596,0.07528668642044067,0.0219035019565814,0.02133643813431263
24,0.6803529262542725,0.07527662813663483,0.0219035019565814,0.02133643813431263
25,0.6802753806114197,0.07526658475399017,0.0219035019565814,0.02133643813431263
